,FREQUENC,GEO,TIME,ISCED11,AGE,SEX,UNIT,ACL00,Value
1449,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,32.0
1450,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,31.5
1451,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,26.6
1452,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,32.4
1453,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,26.1
1454,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,26.5
1455,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,24.3
1456,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,24.9
1457,From 1 to 3 times,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,17.5
1458,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,27.1
1459,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,31.7
1460,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,29.7
1461,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,34.2
1462,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,32.1
1463,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,36.5
1464,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,26.5
1465,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,27.8
1466,From 1 to 3 times,Denmark,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,15.0
1467,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,22.4
1468,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,28.5
1469,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,28.4
1470,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,29.8
1471,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,30.9
1472,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,35.5
1473,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,25.0
1474,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,23.0
1475,From 1 to 3 times,Denmark,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,7.4
1476,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,25.8
1477,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,24.1
1478,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,18.1
1479,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,22.4
1480,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.2
1481,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,20.5
1482,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,16.1
1483,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,14.4
1484,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,9.1
1485,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,24.4
1486,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,23.7
1487,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,13.9
1488,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,17.1
1489,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,10.1
1490,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,6.9
1491,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,9.4
1492,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,10.7
1493,From 1 to 3 times,Germany,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,6.9
1494,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,27.2
1495,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,24.9
1496,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,18.5
1497,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,22.6
1498,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,19.4
1499,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,20.8
1500,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,16.4
1501,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,14.8
1502,From 1 to 3 times,Germany,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,10.1
1503,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,29.1
1504,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,23.0
1505,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,20.9
1506,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,24.0
1507,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,23.4
1508,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,26.0
1509,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,20.0
1510,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,16.6
1511,From 1 to 3 times,Germany,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,9.1
1512,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,26.8
1513,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,24.9
1514,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,16.7
1515,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,23.2
1516,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.0
1517,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,22.2
1518,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,12.7
1519,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,7.5
1520,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,2.0
1521,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,27.8
1522,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,26.3
1523,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,13.1
1524,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,16.8
1525,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,13.4
1526,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,16.4
1527,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,8.1
1528,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,5.5
1529,From 1 to 3 times,Estonia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,1.1
1530,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,26.3
1531,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,25.7
1532,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,18.2
1533,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,26.2
1534,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,19.8
1535,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,23.3
1536,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,12.7
1537,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,8.2
1538,From 1 to 3 times,Estonia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,2.4
1539,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,21.9
1540,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,21.1
1541,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,17.0
1542,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,22.1
1543,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,19.7
1544,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,22.5
1545,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,14.2
1546,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,8.4
1547,From 1 to 3 times,Estonia,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,3.0
1548,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,19.9
1549,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,18.7
1550,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,17.7
1551,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,19.8
1552,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.1
1553,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,20.0
1554,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,17.8
1555,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,14.7
1556,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,8.5
1557,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,24.7
1558,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,22.6
1559,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,12.8
1560,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,15.8
1561,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,13.3
1562,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,16.0
1563,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,11.7
1564,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,12.9
1565,From 1 to 3 times,Ireland,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,7.1
1566,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,17.2
1567,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,15.3
1568,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,17.3
1569,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,14.0
1570,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,17.9
1571,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,16.2
1572,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,22.2
1573,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,18.2
1574,From 1 to 3 times,Ireland,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,9.1
1575,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,20.5
1576,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,21.0
1577,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,21.7
1578,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,22.7
1579,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,22.6
1580,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,23.3
1581,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,21.3
1582,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,15.5
1583,From 1 to 3 times,Ireland,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,12.7
1584,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,36.0
1585,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,35.4
1586,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,22.0
1587,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,33.6
1588,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,26.4
1589,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,28.4
1590,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,19.5
1591,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,6.8
1592,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,1.9
1593,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,30.9
1594,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,28.4
1595,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,10.9
1596,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,20.6
1597,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,15.7
1598,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,18.8
1599,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,12.8
1600,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,5.4
1601,From 1 to 3 times,Greece,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,1.7
1602,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,38.4
1603,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,37.2
1604,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,27.7
1605,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,33.5
1606,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,28.1
1607,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,28.5
1608,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,23.3
1609,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,8.8
1610,From 1 to 3 times,Greece,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,3.1
1611,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,31.1
1612,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,36.3
1613,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,30.7
1614,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,37.4
1615,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,33.5
1616,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,35.0
1617,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,26.1
1618,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,11.3
1619,From 1 to 3 times,Greece,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,2.3
1620,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,17.9
1621,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,17.8
1622,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,11.2
1623,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,16.1
1624,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.4
1625,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,12.6
1626,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,9.5
1627,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,6.3
1628,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,2.3
1629,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,17.7
1630,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,16.5
1631,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,7.7
1632,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,12.8
1633,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,8.7
1634,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,9.4
1635,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,6.4
1636,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,4.9
1637,From 1 to 3 times,Spain,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,1.5
1638,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,18.9
1639,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,18.8
1640,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,14.0
1641,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,16.3
1642,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,13.3
1643,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,13.0
1644,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,11.5
1645,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,7.9
1646,From 1 to 3 times,Spain,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,9.4
1647,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,15.9
1648,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,19.0
1649,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,15.6
1650,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,18.5
1651,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,16.1
1652,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,15.4
1653,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,14.8
1654,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,11.7
1655,From 1 to 3 times,Spain,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,6.3
